Timestamp,Latitude,Longitude,PM2.5 AQI,PM10 AQI,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Setting - Multiplication Factor,Applied PM2.5 Custom Calibration Setting - Offset,PM4.0,PM10,Applied PM10 Custom Calibration Setting - Multiplication Factor,Applied PM10 Custom Calibration Setting - Offset,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Sensor Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Status,Timestamp_Local
2024-03-03 21:10:03,,,46.0,10.0,10,11,,,11,11,,,73,82,82,82,82,0.45,0.0,428,,,0.0,,,,,23.62,,0.0,,,,,,,,,,,,,,,,,0.569,,,0.0,74.5,,54,,0.0,2024-03-04 00:10:03
2024-03-03 21:25:03,,,42.0,9.0,10,10,,,10,10,,,71,80,80,80,80,0.46,0.0,426,,,0.0,,,,,23.62,,0.0,,,,,,,,,,,,,,,,,0.589,,,0.0,74.3,,54,,0.0,2024-03-04 00:25:03
2024-03-03 21:40:03,,,42.0,9.0,9,10,,,10,10,,,68,77,77,77,77,0.45,0.0,430,,,0.0,,,,,23.62,,0.0,,,,,,,,,,,,,,,,,0.589,,,0.0,74.1,,55,,0.0,2024-03-04 00:40:03
2024-03-03 22:10:03,,,38.0,8.0,9,9,,,9,9,,,65,73,73,73,73,0.44,0.0,438,,,0.0,,,,,23.61,,0.0,,,,,,,,,,,,,,,,,0.578,,,0.0,73.8,,55,,0.0,2024-03-04 01:10:03
2024-03-03 22:25:03,,,38.0,8.0,9,9,,,9,9,,,62,70,70,70,70,0.45,0.0,440,,,0.0,,,,,23.61,,0.0,,,,,,,,,,,,,,,,,0.582,,,0.0,73.8,,55,,0.0,2024-03-04 01:25:03
2024-03-03 22:40:03,,,38.0,8.0,8,9,,,9,9,,,61,68,68,68,68,0.45,0.0,433,,,0.0,,,,,23.6,,0.0,,,,,,,,,,,,,,,,,0.571,,,0.0,73.6,,56,,0.0,2024-03-04 01:40:03
2024-03-03 23:10:03,,,38.0,8.0,8,9,,,9,9,,,58,66,66,66,66,0.44,0.0,450,,,0.0,,,,,23.6,,0.0,,,,,,,,,,,,,,,,,0.586,,,0.0,73.4,,56,,0.0,2024-03-04 02:10:03
2024-03-03 23:25:03,,,33.0,7.0,8,8,,,8,8,,,55,61,62,62,62,0.43,0.0,450,,,0.0,,,,,23.59,,0.0,,,,,,,,,,,,,,,,,0.569,,,0.0,73.2,,56,,0.0,2024-03-04 02:25:03
2024-03-03 23:40:03,,,33.0,7.0,7,8,,,8,8,,,52,58,58,58,58,0.43,0.0,449,,,0.0,,,,,23.59,,0.0,,,,,,,,,,,,,,,,,0.544,,,0.0,73.0,,56,,0.0,2024-03-04 02:40:03
2024-03-04 00:10:03,,,29.0,6.0,6,7,,,7,7,,,45,50,50,50,50,0.44,0.0,462,,,0.0,,,,,23.59,,0.0,,,,,,,,,,,,,,,,,0.507,,,0.0,72.9,,56,,0.0,2024-03-04 03:10:03
