Sensor,Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
,UTC,UTC-05:00,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,Fahrenheit,Celsius,%,,,
B27,1/1/2024 0:07,12/31/2023 19:07,2,2,,2,3,,19,23,23,24,24,0,62.6,,66,,0,0
B27,1/1/2024 0:22,12/31/2023 19:22,2,2,,2,2,,15,18,18,18,19,0,62.6,,66,,0,0
B27,1/1/2024 0:37,12/31/2023 19:37,2,2,,2,2,,19,22,22,22,22,0,62.2,,66,,0,0
B27,1/1/2024 0:52,12/31/2023 19:52,2,2,,2,3,,22,25,26,26,26,0,61.7,,67,,0,0
B27,1/1/2024 1:07,12/31/2023 20:07,2,2,,2,2,,19,22,23,23,23,0,60.8,,69,,0,0
B27,1/1/2024 1:22,12/31/2023 20:22,2,3,,3,3,,25,29,29,29,29,0,60.3,,70,,0,0
B27,1/1/2024 1:37,12/31/2023 20:37,3,3,,3,3,,28,32,32,32,32,0,60.1,,70,,0,0
B27,1/1/2024 1:52,12/31/2023 20:52,3,3,,3,3,,32,37,37,37,37,0,59.5,,71,,0,0
B27,1/1/2024 2:07,12/31/2023 21:07,4,4,,4,4,,43,50,50,50,50,0,59.2,,72,,0,0
B27,1/1/2024 2:22,12/31/2023 21:22,4,5,,5,5,,46,54,54,54,54,0,59.4,,72,,0,0
B27,1/1/2024 2:37,12/31/2023 21:37,5,6,,6,6,,58,67,68,68,68,0,59.9,,71,,0,0
B27,1/1/2024 2:52,12/31/2023 21:52,5,5,,5,5,,53,61,61,61,61,0,60.3,,71,,0,0
B27,1/1/2024 3:07,12/31/2023 22:07,5,5,,5,5,,49,56,56,56,57,0,60.6,,70,,0,0
B27,1/1/2024 3:22,12/31/2023 22:22,5,5,,5,5,,52,60,60,60,60,0,60.8,,70,,0,0
B27,1/1/2024 3:37,12/31/2023 22:37,5,6,,6,6,,56,65,65,65,65,0,61,,70,,0,0
B27,1/1/2024 3:52,12/31/2023 22:52,7,7,,7,7,,74,85,86,86,86,0,61.2,,70,,0,0
B27,1/1/2024 4:07,12/31/2023 23:07,7,8,,8,8,,77,90,90,90,90,0,61,,70,,0,0
B27,1/1/2024 4:22,12/31/2023 23:22,7,8,,8,8,,78,90,90,90,90,0,60.4,,70,,0,0
B27,1/1/2024 4:37,12/31/2023 23:37,13,14,,14,14,,142,164,165,165,165,0,59.7,,71,,0,0
B27,1/1/2024 4:52,12/31/2023 23:52,14,15,,15,15,,152,177,177,177,177,0,59.4,,72,,0,0
B27,1/1/2024 5:07,1/1/2024 0:07,13,13,,13,13,,135,157,157,157,157,0,59.2,,72,,0,0
B27,1/1/2024 5:22,1/1/2024 0:22,12,13,,13,13,,132,153,154,154,154,0,58.6,,72,,0,0
B27,1/1/2024 5:37,1/1/2024 0:37,13,14,,14,14,,146,169,170,170,170,0,58.1,,73,,0,0
B27,1/1/2024 5:52,1/1/2024 0:52,16,17,,17,17,,170,197,197,197,197,0,57.6,,74,,0,0
