Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,Applied PM 2.5 Custom Calibration Setting - Offset,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,Applied PM 10 Custom Calibration Setting - Offset,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Error Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Error Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Error Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Error Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Error Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Error Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Error Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Ethanol,VOC Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC-05:00,ug/m3,ug/m3,,,ug/m3,ug/m3,,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,ppm,,,,ppb,,,,inHg,,,ppm,,,,ppb,,,,ppb,,,,ppb,,,,mg/m3,,,ppb,,Fahrenheit,Celsius,%,,,
11/10/2023 08:32,11/10/2023 03:32,13,13,,,13,13,,,43,48,48,48,48,0,446,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.842,,,448,0,74.8,,49,,0,0
11/09/2023 21:17,11/09/2023 16:17,25,26,,,26,26,,,86,97,97,97,97,0,439,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.062,,,33,0,69.8,,58,,0,0
11/08/2023 21:17,11/08/2023 16:17,6,6,,,6,6,,,21,24,24,24,24,0,406,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,69.4,,62,,0,0
11/12/2023 10:44,11/12/2023 05:44,12,13,,,13,13,,,41,46,46,46,46,0,395,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.283,,,151,0,75.0,,52,,0,0
11/10/2023 17:53,11/10/2023 12:53,27,29,,,29,29,,,93,105,105,105,105,0,410,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.386,,,205,0,72.3,,56,,0,0
11/12/2023 15:29,11/12/2023 10:29,14,15,,,15,15,,,50,56,56,56,56,0,406,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.200,,,106,0,71.6,,59,,0,0
11/11/2023 10:53,11/11/2023 05:53,14,14,,,14,14,,,46,51,52,52,52,0,399,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.068,,,36,0,77.0,,44,,0,0
11/12/2023 18:44,11/12/2023 13:44,15,16,,,16,16,,,52,59,59,59,59,0,415,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.263,,,140,0,70.0,,63,,0,0
11/06/2023 00:32,11/05/2023 19:32,2,2,,,2,2,,,8,8,8,8,8,0,428,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.049,,,26,0,68.5,,66,,0,0
11/09/2023 00:17,11/08/2023 19:17,5,5,,,5,5,,,16,18,18,18,18,0,411,,,0,,,,,23.54,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,69.1,,62,,0,0
11/11/2023 15:53,11/11/2023 10:53,24,25,,,25,25,,,81,91,91,91,91,0,510,,,0,,,,,23.56,,0,,,,,,,,,,,,,,,,,0.048,,,26,0,73.2,,51,,0,0
11/06/2023 17:02,11/06/2023 12:02,9,10,,,10,10,,,32,36,36,36,36,0,421,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.117,,,62,0,72.3,,60,,0,0
11/08/2023 16:17,11/08/2023 11:17,7,7,,,7,7,,,23,26,26,26,26,0,411,,,0,,,,,23.56,,0,,,,,,,,,,,,,,,,,0.019,,,10,0,71.4,,59,,0,0
11/12/2023 04:59,11/11/2023 23:59,16,17,,,17,17,,,56,63,63,63,63,0,411,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.046,,,25,0,69.4,,59,,0,0
11/08/2023 03:47,11/07/2023 22:47,5,5,,,5,5,,,16,18,18,18,18,0,427,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.093,,,50,0,68.9,,66,,0,0
11/09/2023 21:47,11/09/2023 16:47,25,27,,,27,27,,,87,98,99,99,99,0,443,,,0,,,,,23.56,,0,,,,,,,,,,,,,,,,,0.066,,,35,0,69.6,,59,,0,0
11/11/2023 20:59,11/11/2023 15:59,20,21,,,21,21,,,70,79,79,79,79,0,412,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.025,,,13,0,70.7,,55,,0,0
11/10/2023 19:08,11/10/2023 14:08,24,25,,,25,25,,,82,92,92,92,92,0,418,,,0,,,,,23.60,,0,,,,,,,,,,,,,,,,,0.234,,,124,0,72.0,,56,,0,0
11/12/2023 12:14,11/12/2023 07:14,11,12,,,12,12,,,38,43,43,43,43,0,400,,,0,,,,,23.54,,0,,,,,,,,,,,,,,,,,0.245,,,130,0,74.3,,54,,0,0
11/07/2023 02:32,11/06/2023 21:32,3,3,,,3,3,,,9,10,11,11,11,0,430,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.025,,,13,0,68.4,,65,,0,0
11/12/2023 23:44,11/12/2023 18:44,2,2,,,2,2,,,8,9,9,9,9,0,411,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.121,,,65,0,68.7,,63,,0,0
11/08/2023 01:02,11/07/2023 20:02,3,3,,,3,3,,,10,11,11,11,11,0,419,,,0,,,,,23.54,,0,,,,,,,,,,,,,,,,,0.084,,,45,0,69.4,,65,,0,0
11/08/2023 05:02,11/08/2023 00:02,5,6,,,6,6,,,19,21,21,21,21,0,432,,,0,,,,,23.60,,0,,,,,,,,,,,,,,,,,0.088,,,47,0,70.0,,65,,0,0
11/07/2023 14:47,11/07/2023 09:47,4,4,,,4,4,,,14,16,16,16,16,0,421,,,0,,,,,23.54,,0,,,,,,,,,,,,,,,,,0.220,,,117,0,73.9,,56,,0,0
11/08/2023 12:32,11/08/2023 07:32,2,2,,,2,2,,,6,6,6,6,6,0,424,,,0,,,,,23.53,,0,,,,,,,,,,,,,,,,,0.166,,,89,0,75.7,,54,,0,0
11/12/2023 19:29,11/12/2023 14:29,11,12,,,12,12,,,40,45,45,45,45,0,421,,,0,,,,,23.63,,0,,,,,,,,,,,,,,,,,0.235,,,125,0,69.8,,64,,0,0
11/12/2023 05:44,11/12/2023 00:44,16,17,,,17,17,,,55,62,62,62,62,0,401,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.066,,,35,0,70.3,,58,,0,0
11/10/2023 22:08,11/10/2023 17:08,16,17,,,17,17,,,57,64,64,64,64,0,403,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.149,,,79,0,71.1,,57,,0,0
11/10/2023 10:47,11/10/2023 05:47,12,13,,,13,13,,,40,45,45,45,45,0,441,,,0,,,,,23.53,,0,,,,,,,,,,,,,,,,,0.962,,,511,0,77.5,,47,,0,0
11/07/2023 05:32,11/07/2023 00:32,5,5,,,5,5,,,18,20,20,20,20,0,432,,,0,,,,,23.63,,0,,,,,,,,,,,,,,,,,0.094,,,50,0,69.8,,62,,0,0
11/07/2023 21:32,11/07/2023 16:32,6,6,,,6,6,,,21,24,24,24,24,0,403,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.176,,,94,0,70.3,,64,,0,0
11/09/2023 01:32,11/08/2023 20:32,5,5,,,5,5,,,17,19,19,19,19,0,407,,,0,,,,,23.54,,0,,,,,,,,,,,,,,,,,0.003,,,1,0,68.7,,62,,0,0
11/06/2023 16:02,11/06/2023 11:02,8,9,,,9,9,,,27,31,31,31,31,0,420,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.077,,,41,0,73.0,,58,,0,0
11/12/2023 02:44,11/11/2023 21:44,16,17,,,17,17,,,55,62,62,62,62,0,417,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.028,,,15,0,69.1,,59,,0,0
11/12/2023 13:44,11/12/2023 08:44,11,12,,,12,12,,,38,43,43,43,43,0,415,,,0,,,,,23.53,,0,,,,,,,,,,,,,,,,,0.196,,,104,0,72.9,,57,,0,0
11/10/2023 05:47,11/10/2023 00:47,14,15,,,15,15,,,50,56,57,57,57,0,424,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.025,,,13,0,70.0,,55,,0,0
11/12/2023 01:14,11/11/2023 20:14,18,19,,,19,19,,,63,70,71,71,71,0,414,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.023,,,12,0,69.4,,57,,0,0
11/08/2023 02:17,11/07/2023 21:17,3,3,,,3,3,,,10,11,11,11,11,0,416,,,0,,,,,23.56,,0,,,,,,,,,,,,,,,,,0.082,,,43,0,69.1,,65,,0,0
11/08/2023 23:02,11/08/2023 18:02,4,5,,,5,5,,,15,17,17,17,17,0,409,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,69.3,,62,,0,0
11/06/2023 13:17,11/06/2023 08:17,2,2,,,2,2,,,7,8,8,8,8,0,450,,,0,,,,,23.53,,0,,,,,,,,,,,,,,,,,0.182,,,97,0,76.8,,51,,0,0
11/09/2023 23:47,11/09/2023 18:47,20,21,,,21,21,,,69,78,78,78,78,0,446,,,0,,,,,23.53,,0,,,,,,,,,,,,,,,,,0.056,,,30,0,69.3,,59,,0,0
11/12/2023 06:14,11/12/2023 01:14,15,16,,,16,16,,,52,58,58,58,58,0,401,,,0,,,,,23.63,,0,,,,,,,,,,,,,,,,,0.074,,,39,0,70.9,,57,,0,0
11/08/2023 21:47,11/08/2023 16:47,5,5,,,5,5,,,17,19,19,19,19,0,405,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,69.4,,62,,0,0
11/10/2023 08:47,11/10/2023 03:47,12,13,,,13,13,,,42,48,48,48,48,0,440,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.865,,,460,0,75.0,,49,,0,0
11/07/2023 17:32,11/07/2023 12:32,9,10,,,10,10,,,31,35,35,35,35,0,419,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.414,,,220,0,71.8,,61,,0,0
11/11/2023 04:08,11/10/2023 23:08,16,17,,,17,17,,,57,64,65,65,65,0,413,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.039,,,21,0,69.1,,61,,0,0
11/07/2023 20:02,11/07/2023 15:02,9,10,,,10,10,,,33,37,37,37,37,0,413,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.256,,,136,0,71.1,,62,,0,0
11/06/2023 08:17,11/06/2023 03:17,3,3,,,3,3,,,9,10,10,10,10,0,457,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.557,,,296,0,73.4,,57,,0,0
11/10/2023 21:53,11/10/2023 16:53,17,18,,,18,18,,,58,65,65,65,65,0,400,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.149,,,79,0,71.2,,57,,0,0
11/07/2023 12:17,11/07/2023 07:17,2,2,,,2,2,,,8,9,9,9,9,0,419,,,0,,,,,23.52,,0,,,,,,,,,,,,,,,,,0.134,,,71,0,77.2,,51,,0,0
11/08/2023 14:32,11/08/2023 09:32,3,3,,,3,3,,,9,10,10,10,10,0,412,,,0,,,,,23.53,,0,,,,,,,,,,,,,,,,,0.036,,,19,0,73.2,,57,,0,0
11/08/2023 18:02,11/08/2023 13:02,11,11,,,11,11,,,38,42,42,42,42,0,416,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,70.3,,60,,0,0
11/12/2023 01:29,11/11/2023 20:29,18,19,,,19,19,,,62,70,70,70,70,0,414,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.023,,,12,0,69.4,,58,,0,0
11/12/2023 12:59,11/12/2023 07:59,11,11,,,11,11,,,36,41,41,41,41,0,401,,,0,,,,,23.54,,0,,,,,,,,,,,,,,,,,0.169,,,90,0,73.9,,54,,0,0
11/12/2023 17:59,11/12/2023 12:59,18,19,,,19,19,,,61,69,69,69,69,0,417,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.286,,,152,0,70.3,,62,,0,0
11/09/2023 04:02,11/08/2023 23:02,6,6,,,6,6,,,20,22,22,22,22,0,420,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.019,,,10,0,68.4,,61,,0,0
11/09/2023 00:32,11/08/2023 19:32,5,5,,,5,5,,,16,18,18,18,18,0,402,,,0,,,,,23.54,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,69.1,,62,,0,0
11/09/2023 07:17,11/09/2023 02:17,8,8,,,8,8,,,28,31,31,31,31,0,419,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.171,,,91,0,72.3,,53,,0,0
11/09/2023 13:47,11/09/2023 08:47,9,10,,,10,10,,,32,36,36,36,36,0,420,,,0,,,,,23.50,,0,,,,,,,,,,,,,,,,,0.118,,,63,0,75.9,,50,,0,0
11/09/2023 05:02,11/09/2023 00:02,7,7,,,7,7,,,24,27,27,27,27,0,413,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.245,,,131,0,69.1,,60,,0,0
11/12/2023 19:59,11/12/2023 14:59,10,10,,,10,10,,,34,38,38,38,38,0,417,,,0,,,,,23.63,,0,,,,,,,,,,,,,,,,,0.217,,,116,0,69.8,,64,,0,0
11/08/2023 21:32,11/08/2023 16:32,6,6,,,6,6,,,19,22,22,22,22,0,404,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,69.4,,62,,0,0
11/09/2023 19:32,11/09/2023 14:32,32,34,,,34,34,,,112,126,126,126,126,0,445,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.100,,,53,0,70.3,,57,,0,0
11/09/2023 20:02,11/09/2023 15:02,31,33,,,33,33,,,108,121,121,121,121,0,435,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.088,,,47,0,70.2,,57,,0,0
11/11/2023 14:38,11/11/2023 09:38,23,25,,,25,25,,,80,89,89,90,90,0,431,,,0,,,,,23.54,,0,,,,,,,,,,,,,,,,,0.027,,,14,0,74.8,,48,,0,0
11/07/2023 06:32,11/07/2023 01:32,4,4,,,4,4,,,14,16,16,16,16,0,432,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.125,,,66,0,71.1,,60,,0,0
11/09/2023 14:17,11/09/2023 09:17,10,10,,,10,10,,,33,37,37,37,37,0,414,,,0,,,,,23.50,,0,,,,,,,,,,,,,,,,,0.085,,,45,0,75.2,,51,,0,0
11/08/2023 05:17,11/08/2023 00:17,5,5,,,5,5,,,18,20,20,20,20,0,427,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.077,,,41,0,70.3,,65,,0,0
11/11/2023 03:38,11/10/2023 22:38,16,17,,,17,17,,,56,63,63,63,63,0,408,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.041,,,22,0,68.9,,60,,0,0
11/12/2023 19:44,11/12/2023 14:44,10,11,,,11,11,,,36,41,41,41,41,0,416,,,0,,,,,23.63,,0,,,,,,,,,,,,,,,,,0.226,,,120,0,69.8,,64,,0,0
11/12/2023 05:29,11/12/2023 00:29,16,17,,,17,17,,,56,63,64,64,64,0,405,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.060,,,32,0,70.0,,58,,0,0
11/06/2023 17:47,11/06/2023 12:47,9,10,,,10,10,,,32,35,35,36,36,0,422,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.131,,,70,0,71.8,,61,,0,0
11/07/2023 23:47,11/07/2023 18:47,3,3,,,3,3,,,11,12,12,12,12,0,414,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.082,,,43,0,69.6,,65,,0,0
11/06/2023 07:02,11/06/2023 02:02,3,3,,,3,3,,,10,12,12,12,12,0,458,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.594,,,316,0,71.8,,59,,0,0
11/07/2023 09:47,11/07/2023 04:47,3,3,,,3,3,,,10,11,11,11,11,0,429,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.162,,,86,0,75.2,,53,,0,0
11/07/2023 10:47,11/07/2023 05:47,3,3,,,3,3,,,9,10,10,10,10,0,425,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.190,,,101,0,77.0,,51,,0,0
11/07/2023 12:32,11/07/2023 07:32,2,2,,,2,2,,,8,8,8,8,8,0,424,,,0,,,,,23.51,,0,,,,,,,,,,,,,,,,,0.152,,,81,0,77.2,,51,,0,0
11/08/2023 08:17,11/08/2023 03:17,3,3,,,3,3,,,11,12,12,12,12,0,434,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.365,,,194,0,75.0,,56,,0,0
11/10/2023 12:23,11/10/2023 07:23,10,11,,,11,11,,,35,39,39,39,39,0,533,,,0,,,,,23.50,,0,,,,,,,,,,,,,,,,,0.288,,,153,0,78.4,,46,,0,0
11/07/2023 07:02,11/07/2023 02:02,4,4,,,4,4,,,13,15,15,15,15,0,427,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.091,,,48,0,71.2,,59,,0,0
11/06/2023 20:32,11/06/2023 15:32,5,6,,,6,6,,,18,21,21,21,21,0,412,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.065,,,34,0,70.3,,63,,0,0
11/07/2023 07:47,11/07/2023 02:47,3,3,,,3,3,,,11,12,12,12,12,0,420,,,0,,,,,23.63,,0,,,,,,,,,,,,,,,,,0.099,,,53,0,72.3,,58,,0,0
11/07/2023 13:47,11/07/2023 08:47,3,3,,,3,3,,,9,10,10,10,10,0,428,,,0,,,,,23.52,,0,,,,,,,,,,,,,,,,,0.108,,,57,0,75.4,,53,,0,0
11/08/2023 15:47,11/08/2023 10:47,5,5,,,5,5,,,17,19,19,19,19,0,412,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.028,,,15,0,72.0,,59,,0,0
11/07/2023 11:17,11/07/2023 06:17,2,2,,,2,2,,,8,9,9,9,9,0,423,,,0,,,,,23.53,,0,,,,,,,,,,,,,,,,,0.166,,,88,0,77.2,,50,,0,0
11/09/2023 05:47,11/09/2023 00:47,8,8,,,8,8,,,26,30,30,30,30,0,413,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.115,,,61,0,69.6,,58,,0,0
11/06/2023 06:32,11/06/2023 01:32,4,4,,,4,4,,,13,15,15,15,15,0,442,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.686,,,365,0,70.9,,61,,0,0
11/09/2023 09:32,11/09/2023 04:32,8,8,,,8,8,,,26,29,29,29,29,0,422,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.048,,,25,0,75.7,,45,,0,0
11/08/2023 17:17,11/08/2023 12:17,10,10,,,10,10,,,33,37,37,37,37,0,419,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.015,,,7,0,70.7,,59,,0,0
11/09/2023 09:47,11/09/2023 04:47,8,8,,,8,8,,,26,30,30,30,30,0,422,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.052,,,28,0,75.9,,45,,0,0
11/10/2023 03:32,11/09/2023 22:32,15,16,,,16,16,,,54,61,61,61,61,0,417,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.014,,,5,0,68.0,,60,,0,0
11/10/2023 11:17,11/10/2023 06:17,11,12,,,12,12,,,38,43,43,43,43,0,430,,,0,,,,,23.52,,0,,,,,,,,,,,,,,,,,0.967,,,514,0,78.1,,46,,0,0
11/10/2023 19:53,11/10/2023 14:53,20,21,,,21,21,,,70,79,79,79,79,0,401,,,0,,,,,23.60,,0,,,,,,,,,,,,,,,,,0.166,,,88,0,71.6,,56,,0,0
11/10/2023 02:17,11/09/2023 21:17,15,16,,,16,16,,,54,61,61,61,61,0,418,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.022,,,12,0,68.4,,60,,0,0
11/10/2023 10:17,11/10/2023 05:17,12,13,,,13,13,,,42,47,47,47,47,0,460,,,0,,,,,23.54,,0,,,,,,,,,,,,,,,,,0.972,,,517,0,77.4,,47,,0,0
11/10/2023 11:32,11/10/2023 06:32,10,11,,,11,11,,,35,39,39,39,39,0,428,,,0,,,,,23.52,,0,,,,,,,,,,,,,,,,,0.797,,,424,0,77.7,,46,,0,0
11/11/2023 09:38,11/11/2023 04:38,14,14,,,14,14,,,46,52,52,52,52,0,398,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.132,,,70,0,76.5,,46,,0,0
11/11/2023 11:23,11/11/2023 06:23,14,14,,,14,14,,,46,52,52,52,52,0,404,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.072,,,38,0,77.0,,44,,0,0
11/08/2023 15:02,11/08/2023 10:02,3,3,,,3,3,,,10,11,11,11,11,0,409,,,0,,,,,23.54,,0,,,,,,,,,,,,,,,,,0.026,,,14,0,72.7,,57,,0,0
11/10/2023 16:38,11/10/2023 11:38,21,22,,,22,22,,,73,82,82,82,82,0,418,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.275,,,146,0,73.0,,55,,0,0
11/06/2023 11:32,11/06/2023 06:32,2,2,,,2,2,,,8,9,9,9,9,0,454,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.330,,,176,0,77.4,,51,,0,0
11/06/2023 19:32,11/06/2023 14:32,6,7,,,7,7,,,22,25,25,25,25,0,420,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.090,,,48,0,70.9,,63,,0,0
11/12/2023 04:44,11/11/2023 23:44,16,17,,,17,17,,,56,62,63,63,63,0,409,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.043,,,23,0,69.1,,59,,0,0
11/09/2023 17:02,11/09/2023 12:02,20,22,,,22,22,,,71,80,80,80,80,0,428,,,0,,,,,23.54,,0,,,,,,,,,,,,,,,,,0.108,,,57,0,71.6,,55,,0,0
11/09/2023 17:17,11/09/2023 12:17,23,24,,,25,25,,,80,90,90,90,90,0,424,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.115,,,61,0,71.4,,56,,0,0
11/09/2023 14:32,11/09/2023 09:32,10,11,,,11,11,,,34,39,39,39,39,0,414,,,0,,,,,23.50,,0,,,,,,,,,,,,,,,,,0.066,,,35,0,74.8,,51,,0,0
11/09/2023 12:47,11/09/2023 07:47,8,9,,,9,9,,,28,32,32,32,32,0,426,,,0,,,,,23.50,,0,,,,,,,,,,,,,,,,,0.099,,,53,0,76.5,,48,,0,0
11/10/2023 20:38,11/10/2023 15:38,18,19,,,19,19,,,63,70,70,70,70,0,405,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.138,,,73,0,71.4,,57,,0,0
11/06/2023 03:02,11/05/2023 22:02,5,5,,,5,5,,,16,18,18,18,18,0,440,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.033,,,18,0,67.5,,67,,0,0
11/07/2023 21:17,11/07/2023 16:17,7,7,,,7,7,,,23,26,26,26,26,0,399,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.183,,,97,0,70.5,,64,,0,0
11/07/2023 04:17,11/06/2023 23:17,4,4,,,4,4,,,15,17,17,17,17,0,439,,,0,,,,,23.60,,0,,,,,,,,,,,,,,,,,0.025,,,13,0,68.2,,64,,0,0
11/11/2023 17:00,11/11/2023 12:00,21,22,,,22,22,,,72,81,81,81,81,0,428,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.015,,,8,0,72.5,,51,,0,1
11/06/2023 04:17,11/05/2023 23:17,7,7,,,7,7,,,23,26,26,26,26,0,453,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.077,,,41,0,67.5,,66,,0,0
11/09/2023 11:32,11/09/2023 06:32,8,8,,,8,8,,,26,30,30,30,30,0,425,,,0,,,,,23.51,,0,,,,,,,,,,,,,,,,,0.056,,,30,0,77.0,,45,,0,0
11/07/2023 08:17,11/07/2023 03:17,3,3,,,3,3,,,11,12,12,12,12,0,427,,,0,,,,,23.63,,0,,,,,,,,,,,,,,,,,0.114,,,61,0,73.0,,56,,0,0
11/06/2023 20:17,11/06/2023 15:17,5,6,,,6,6,,,19,21,21,21,21,0,414,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.070,,,37,0,70.5,,63,,0,0
11/08/2023 06:47,11/08/2023 01:47,4,4,,,4,4,,,13,14,14,14,14,0,434,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.287,,,153,0,72.7,,60,,0,0
