Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC-04:00,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,Fahrenheit,Celsius,%,,,
07/22/2024 00:01:25,07/21/2024 20:01:25,37,39,,39,40,,136,157,158,158,158,0,64.4,,75,,0,0
07/22/2024 00:16:25,07/21/2024 20:16:25,37,40,,40,40,,137,158,159,159,159,0,64.4,,75,,0,0
07/22/2024 00:31:25,07/21/2024 20:31:25,38,40,,41,41,,141,162,163,163,163,0,64.4,,75,,0,0
07/22/2024 00:46:25,07/21/2024 20:46:25,38,41,,41,42,,142,163,164,164,164,0,64.4,,75,,0,0
07/22/2024 01:01:25,07/21/2024 21:01:25,48,52,,52,52,,178,205,207,207,207,0,64.6,,75,,0,0
07/22/2024 01:16:25,07/21/2024 21:16:25,47,50,,50,51,,172,198,200,200,200,0,64.4,,75,,0,0
07/22/2024 01:31:25,07/21/2024 21:31:25,44,47,,47,48,,161,186,187,187,187,0,64.2,,75,,0,0
07/22/2024 01:46:25,07/21/2024 21:46:25,43,46,,46,46,,159,183,184,184,184,0,64.4,,75,,0,0
07/22/2024 02:01:25,07/21/2024 22:01:25,44,47,,47,47,,162,186,187,187,187,0,64.4,,75,,0,0
07/22/2024 02:16:25,07/21/2024 22:16:25,44,47,,47,48,,163,187,188,188,189,0,64.4,,75,,0,0
07/22/2024 02:31:25,07/21/2024 22:31:25,46,49,,49,49,,169,195,196,196,196,0,64.4,,75,,0,0
07/22/2024 02:46:25,07/21/2024 22:46:25,44,47,,48,48,,164,188,189,189,189,0,64.4,,75,,0,0
07/22/2024 03:01:25,07/21/2024 23:01:25,45,49,,49,49,,169,194,195,195,195,0,64.2,,75,,0,0
07/22/2024 03:16:25,07/21/2024 23:16:25,50,54,,54,54,,186,214,216,216,216,0,64.2,,75,,0,0
07/22/2024 03:31:25,07/21/2024 23:31:25,52,56,,56,57,,195,224,225,225,225,0,64.0,,75,,0,0
07/22/2024 03:46:25,07/21/2024 23:46:25,51,55,,55,56,,190,219,220,220,220,0,64.4,,75,,0,0
07/22/2024 04:01:25,07/22/2024 00:01:25,47,50,,51,51,,175,202,203,203,203,0,64.6,,75,,0,0
07/22/2024 04:16:25,07/22/2024 00:16:25,54,57,,58,58,,199,229,230,230,230,0,64.9,,74,,0,0
07/22/2024 04:31:25,07/22/2024 00:31:25,59,63,,64,64,,219,252,253,254,254,0,65.1,,74,,0,0
07/22/2024 04:46:25,07/22/2024 00:46:25,59,63,,64,64,,219,252,253,253,254,0,65.5,,74,,0,0
07/22/2024 05:01:25,07/22/2024 01:01:25,56,60,,61,61,,207,238,239,239,240,0,66.2,,74,,0,0
07/22/2024 05:16:25,07/22/2024 01:16:25,59,63,,63,64,,214,247,248,248,248,0,67.3,,73,,0,0
07/22/2024 05:31:25,07/22/2024 01:31:25,58,62,,63,64,,211,243,244,245,245,0,67.8,,73,,0,0
07/22/2024 05:46:25,07/22/2024 01:46:25,49,52,,53,53,,177,204,205,206,206,0,68.4,,72,,0,0
07/22/2024 06:01:25,07/22/2024 02:01:25,49,53,,53,53,,179,206,207,208,208,0,68.4,,72,,0,0
07/22/2024 06:16:25,07/22/2024 02:16:25,46,49,,49,49,,167,192,193,193,193,0,68.0,,71,,0,0
07/22/2024 06:31:25,07/22/2024 02:31:25,46,49,,50,50,,167,192,193,193,193,0,68.4,,72,,0,0
07/22/2024 07:27:45,07/22/2024 03:27:45,47,50,,51,51,,169,194,196,196,196,0,70.0,,72,,0,1
07/22/2024 07:42:45,07/22/2024 03:42:45,48,51,,52,52,,171,196,197,198,198,0,71.8,,69,,0,0
07/22/2024 07:57:45,07/22/2024 03:57:45,61,65,,66,67,,218,251,252,252,252,0,72.3,,68,,0,0
07/22/2024 08:12:45,07/22/2024 04:12:45,58,62,,63,63,,207,238,239,240,240,0,73.0,,67,,0,0
07/22/2024 08:27:45,07/22/2024 04:27:45,57,61,,61,61,,201,231,232,232,232,0,73.9,,66,,0,0
