Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,Applied PM 2.5 Custom Calibration Setting - Offset,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,Applied PM 10 Custom Calibration Setting - Offset,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Error Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Error Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Error Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Error Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Error Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Error Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Error Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Ethanol,VOC Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC-05:00,ug/m3,ug/m3,,,ug/m3,ug/m3,,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,ppm,,,,ppb,,,,inHg,,,ppm,,,,ppb,,,,ppb,,,,ppb,,,,mg/m3,,,ppb,,Fahrenheit,Celsius,%,,,
12/07/2023 00:10:37,12/06/2023 19:10:37,23,24,,,25,25,,,82,92,92,92,92,0,451,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.225,,,120,0,69.4,,52,,0,0
12/07/2023 00:25:37,12/06/2023 19:25:37,22,24,,,24,24,,,80,89,89,89,89,0,450,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.209,,,111,0,69.3,,52,,0,0
12/07/2023 00:40:37,12/06/2023 19:40:37,22,23,,,23,23,,,77,87,87,87,87,0,454,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.189,,,101,0,69.1,,52,,0,0
12/07/2023 00:55:37,12/06/2023 19:55:37,21,23,,,23,23,,,76,85,85,85,85,0,461,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.170,,,91,0,68.9,,52,,0,0
12/07/2023 01:10:37,12/06/2023 20:10:37,21,23,,,23,23,,,76,85,85,85,85,0,462,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.171,,,91,0,68.9,,52,,0,0
12/07/2023 01:25:37,12/06/2023 20:25:37,21,22,,,22,22,,,74,83,84,84,84,0,463,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.161,,,86,0,68.7,,52,,0,0
12/07/2023 01:40:37,12/06/2023 20:40:37,20,21,,,21,21,,,71,79,79,79,79,0,466,,,0,,,,,23.60,,0,,,,,,,,,,,,,,,,,0.152,,,81,0,68.5,,52,,0,0
12/07/2023 01:55:37,12/06/2023 20:55:37,19,20,,,20,20,,,67,75,75,75,75,0,460,,,0,,,,,23.60,,0,,,,,,,,,,,,,,,,,0.139,,,74,0,68.4,,52,,0,0
12/07/2023 02:10:37,12/06/2023 21:10:37,19,20,,,20,20,,,67,75,75,75,75,0,464,,,0,,,,,23.60,,0,,,,,,,,,,,,,,,,,0.118,,,63,0,68.4,,52,,0,0
12/07/2023 02:25:37,12/06/2023 21:25:37,18,19,,,19,19,,,64,72,72,72,72,0,462,,,0,,,,,23.60,,0,,,,,,,,,,,,,,,,,0.096,,,51,0,68.2,,52,,0,0
12/07/2023 02:40:37,12/06/2023 21:40:37,18,19,,,19,19,,,65,73,73,73,73,0,453,,,0,,,,,23.60,,0,,,,,,,,,,,,,,,,,0.097,,,51,0,68.0,,52,,0,0
12/07/2023 02:55:37,12/06/2023 21:55:37,19,21,,,21,21,,,69,77,78,78,78,0,459,,,0,,,,,23.60,,0,,,,,,,,,,,,,,,,,0.108,,,57,0,68.0,,52,,0,0
