Sensor,Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,Applied PM 2.5 Custom Calibration Setting - Offset,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,Applied PM 10 Custom Calibration Setting - Offset,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Error Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Error Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Error Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Error Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Error Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Error Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Error Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Ethanol,VOC Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status,Typical Particle Size
,UTC,UTC-05:00,ug/m3,ug/m3,,,ug/m3,ug/m3,,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,ppm,,,,ppb,,,,inHg,,,ppm,,,,ppb,,,,ppb,,,,ppb,,,,mg/m3,,,ppb,,Celsius,Celsius,%,,,,
A19,2024-05-26 00:06:36,,2.0,2.0,,,2.0,2.0,,,19.0,21.0,21.0,21.0,21.0,,403.0,,,,,,,,29.01,,,0.3,,,,,,,,,,,,,,,,0.016,,,,,21.7,,52.0,,,,
A19,2024-05-26 00:21:36,,2.0,2.0,,,2.0,2.0,,,19.0,21.0,21.0,21.0,21.0,,405.0,,,,,,,,29.0,,,0.2,,,,,,,,,,,,,,,,0.007,,,,,21.6,,52.0,,,,
A19,2024-05-26 00:36:36,,2.0,2.0,,,2.0,2.0,,,17.0,20.0,20.0,20.0,20.0,,406.0,,,,,,,,29.0,,,0.2,,,,,,,,,,,,,,,,0.007,,,,,21.5,,52.0,,,,
A19,2024-05-26 00:51:36,,2.0,2.0,,,2.0,2.0,,,17.0,19.0,19.0,19.0,19.0,,404.0,,,,,,,,29.0,,,0.2,,,,,,,,,,,,,,,,0.008,,,,,21.4,,52.0,,,,
A19,2024-05-26 01:06:36,,1.0,1.0,,,1.0,1.0,,,15.0,16.0,16.0,16.0,16.0,,406.0,,,,,,,,29.0,,,0.2,,,,,,,,,,,,,,,,0.01,,,,,21.2,,52.0,,,,
A19,2024-05-26 01:21:36,,1.0,1.0,,,1.0,1.0,,,14.0,16.0,16.0,16.0,16.0,,402.0,,,,,,,,29.0,,,0.1,,,,,,,,,,,,,,,,0.013,,,,,21.1,,53.0,,,,
A19,2024-05-26 01:36:36,,1.0,1.0,,,1.0,1.0,,,14.0,16.0,16.0,16.0,16.0,,403.0,,,,,,,,29.0,,,0.1,,,,,,,,,,,,,,,,0.043,,,,,21.0,,53.0,,,,
A19,2024-05-26 01:51:36,,1.0,1.0,,,1.0,1.0,,,14.0,16.0,16.0,16.0,16.0,,404.0,,,,,,,,29.01,,,0.1,,,,,,,,,,,,,,,,0.055,,,,,21.1,,53.0,,,,
A19,2024-05-26 02:06:36,,1.0,1.0,,,1.0,1.0,,,14.0,15.0,15.0,15.0,15.0,,404.0,,,,,,,,29.01,,,0.1,,,,,,,,,,,,,,,,0.061,,,,,21.1,,52.0,,,,
A19,2024-05-26 02:21:36,,1.0,1.0,,,1.0,1.0,,,14.0,16.0,16.0,16.0,16.0,,416.0,,,,,,,,29.02,,,0.1,,,,,,,,,,,,,,,,0.577,,,,,21.3,,53.0,,,,
A19,2024-05-26 02:36:36,,1.0,1.0,,,1.0,1.0,,,14.0,15.0,15.0,15.0,15.0,,447.0,,,,,,,,29.02,,,0.2,,,,,,,,,,,,,,,,0.862,,,,,21.6,,53.0,,,,
