Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,Applied PM 2.5 Custom Calibration Setting - Offset,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,Applied PM 10 Custom Calibration Setting - Offset,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Error Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Error Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Error Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Error Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Error Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Error Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Error Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Ethanol,VOC Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC-04:00,ug/m3,ug/m3,,,ug/m3,ug/m3,,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,ppm,,,,ppb,,,,inHg,,,ppm,,,,ppb,,,,ppb,,,,ppb,,,,mg/m3,,,ppb,,Fahrenheit,Celsius,%,,,
03/23/2024 00:10:20,03/22/2024 20:10:20,5,6,,,6,6,,,51,58,58,58,58,0,426,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.928,,,494,0,75.4,,38,,0,4
03/23/2024 00:25:20,03/22/2024 20:25:20,5,5,,,5,5,,,45,51,51,52,52,0,419,,,0,,,,,23.54,,0,,,,,,,,,,,,,,,,,0.909,,,484,0,75.4,,38,,0,4
03/23/2024 00:40:20,03/22/2024 20:40:20,4,4,,,4,5,,,40,45,46,46,46,0,420,,,0,,,,,23.54,,0,,,,,,,,,,,,,,,,,0.893,,,475,0,75.2,,39,,0,4
03/23/2024 00:55:20,03/22/2024 20:55:20,4,4,,,4,4,,,37,42,42,42,42,0,421,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.880,,,468,0,75.0,,39,,0,4
03/23/2024 01:10:20,03/22/2024 21:10:20,3,4,,,4,4,,,34,39,39,39,39,0,432,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.917,,,488,0,75.0,,40,,0,4
03/23/2024 01:25:20,03/22/2024 21:25:20,3,3,,,4,4,,,32,36,36,36,36,0,432,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.934,,,497,0,74.8,,40,,0,4
03/23/2024 01:40:20,03/22/2024 21:40:20,3,3,,,3,3,,,30,34,34,34,34,0,430,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.921,,,490,0,74.7,,40,,0,4
03/23/2024 01:55:20,03/22/2024 21:55:20,3,3,,,3,3,,,28,31,32,32,32,0,434,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.913,,,485,0,74.5,,41,,0,4
03/23/2024 02:10:20,03/22/2024 22:10:20,3,3,,,3,3,,,28,32,32,32,32,0,438,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.977,,,520,0,74.5,,41,,0,4
03/23/2024 02:25:20,03/22/2024 22:25:20,3,3,,,3,3,,,28,31,32,32,32,0,442,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.983,,,523,0,74.3,,41,,0,4
03/23/2024 02:40:20,03/22/2024 22:40:20,3,3,,,3,3,,,27,30,30,30,30,0,439,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.956,,,509,0,74.1,,41,,0,4
03/23/2024 02:55:20,03/22/2024 22:55:20,3,3,,,3,3,,,26,30,30,30,30,0,440,,,0,,,,,23.54,,0,,,,,,,,,,,,,,,,,0.938,,,499,0,74.1,,41,,0,4
03/23/2024 03:10:20,03/22/2024 23:10:20,3,3,,,3,3,,,27,31,31,31,31,0,442,,,0,,,,,23.54,,0,,,,,,,,,,,,,,,,,0.947,,,504,0,73.9,,42,,0,4
03/23/2024 03:25:20,03/22/2024 23:25:20,3,3,,,3,3,,,30,34,34,34,34,0,444,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,1.042,,,554,0,73.8,,42,,0,4
03/23/2024 03:40:20,03/22/2024 23:40:20,3,3,,,3,3,,,32,36,36,36,36,0,444,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,1.071,,,570,0,73.6,,42,,0,4
03/23/2024 03:55:20,03/22/2024 23:55:20,3,3,,,3,3,,,33,37,37,37,37,0,439,,,0,,,,,23.56,,0,,,,,,,,,,,,,,,,,1.049,,,558,0,73.6,,42,,0,4
03/23/2024 04:10:20,03/23/2024 00:10:20,3,3,,,3,3,,,33,37,37,37,37,0,443,,,0,,,,,23.56,,0,,,,,,,,,,,,,,,,,1.023,,,544,0,73.6,,42,,0,4
03/23/2024 04:25:20,03/23/2024 00:25:20,3,4,,,4,4,,,35,40,40,40,40,0,442,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.998,,,531,0,73.6,,42,,0,4
03/23/2024 04:40:20,03/23/2024 00:40:20,4,4,,,4,4,,,37,41,41,41,41,0,438,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.980,,,521,0,73.6,,43,,0,4
03/23/2024 04:55:20,03/23/2024 00:55:20,4,4,,,4,4,,,39,44,44,44,44,0,432,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.965,,,513,0,73.9,,43,,0,4
03/23/2024 05:10:20,03/23/2024 01:10:20,4,5,,,5,5,,,44,49,49,49,49,0,431,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.949,,,505,0,74.3,,43,,0,4
03/23/2024 05:25:20,03/23/2024 01:25:20,5,5,,,5,5,,,48,54,54,54,54,0,434,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.934,,,497,0,74.5,,43,,0,4
03/23/2024 07:47:58,03/23/2024 03:47:58,2,2,,,2,2,,,18,20,20,20,20,0,517,,,0,,,,,23.03,,0,,,,,,,,,,,,,,,,,0.001,,,0,0,73.4,,42,,0,1
03/23/2024 08:02:58,03/23/2024 04:02:58,2,2,,,2,2,,,19,22,22,22,22,0,484,,,0,,,,,23.02,,0,,,,,,,,,,,,,,,,,0.002,,,0,0,72.7,,43,,0,0
03/23/2024 08:17:58,03/23/2024 04:17:58,2,2,,,2,2,,,19,21,21,21,21,0,490,,,0,,,,,23.02,,0,,,,,,,,,,,,,,,,,0.012,,,6,0,73.2,,43,,0,0
03/23/2024 08:40:33,03/23/2024 04:40:33,2,2,,,2,2,,,20,23,23,23,23,0,539,,,0,,,,,23.01,,0,,,,,,,,,,,,,,,,,0.017,,,9,0,74.8,,42,,0,1
03/23/2024 08:55:33,03/23/2024 04:55:33,3,3,,,3,3,,,31,35,35,35,35,0,485,,,0,,,,,23.01,,0,,,,,,,,,,,,,,,,,0.027,,,14,0,75.6,,40,,0,0
03/23/2024 09:10:33,03/23/2024 05:10:33,4,4,,,4,4,,,36,41,41,41,41,0,481,,,0,,,,,23.01,,0,,,,,,,,,,,,,,,,,0.011,,,5,0,76.5,,38,,0,0
03/23/2024 09:25:33,03/23/2024 05:25:33,3,4,,,4,4,,,34,38,38,38,38,0,481,,,0,,,,,23.00,,0,,,,,,,,,,,,,,,,,0.032,,,17,0,77.4,,38,,0,0
03/23/2024 09:47:46,03/23/2024 05:47:46,3,3,,,3,3,,,28,32,32,32,32,0,480,,,0,,,,,23.00,,0,,,,,,,,,,,,,,,,,0.008,,,4,0,78.1,,37,,0,5
03/23/2024 10:02:46,03/23/2024 06:02:46,2,2,,,2,2,,,21,24,24,24,24,0,478,,,0,,,,,23.00,,0,,,,,,,,,,,,,,,,,0.037,,,20,0,78.8,,36,,0,4
03/23/2024 10:17:46,03/23/2024 06:17:46,2,2,,,2,2,,,23,26,26,26,26,0,496,,,0,,,,,22.99,,0,,,,,,,,,,,,,,,,,0.055,,,29,0,79.5,,36,,0,4
03/23/2024 10:32:46,03/23/2024 06:32:46,2,3,,,3,3,,,24,27,27,27,27,0,490,,,0,,,,,22.99,,0,,,,,,,,,,,,,,,,,0.050,,,27,0,79.5,,35,,0,4
03/23/2024 10:47:46,03/23/2024 06:47:46,2,2,,,2,2,,,22,25,25,25,25,0,489,,,0,,,,,22.98,,0,,,,,,,,,,,,,,,,,0.037,,,19,0,79.7,,34,,0,4
03/23/2024 11:02:46,03/23/2024 07:02:46,2,2,,,2,2,,,22,25,25,25,25,0,504,,,0,,,,,22.97,,0,,,,,,,,,,,,,,,,,0.107,,,57,0,80.2,,34,,0,4
03/23/2024 11:17:46,03/23/2024 07:17:46,1,1,,,1,1,,,14,15,15,15,15,0,490,,,0,,,,,22.97,,0,,,,,,,,,,,,,,,,,0.051,,,27,0,80.8,,32,,0,4
03/23/2024 11:32:46,03/23/2024 07:32:46,1,1,,,1,1,,,13,14,14,14,14,0,493,,,0,,,,,22.96,,0,,,,,,,,,,,,,,,,,0.113,,,60,0,81.0,,33,,0,4
03/23/2024 11:47:46,03/23/2024 07:47:46,2,2,,,2,2,,,16,18,18,18,19,0,493,,,0,,,,,22.95,,0,,,,,,,,,,,,,,,,,0.146,,,77,0,81.1,,33,,0,4
03/23/2024 12:02:46,03/23/2024 08:02:46,3,3,,,3,3,,,31,35,35,35,35,0,493,,,0,,,,,22.95,,0,,,,,,,,,,,,,,,,,0.263,,,140,0,81.5,,34,,0,4
03/23/2024 12:17:46,03/23/2024 08:17:46,31,34,,,34,34,,,309,347,348,349,349,0,500,,,0,,,,,22.95,,0,,,,,,,,,,,,,,,,,0.486,,,258,0,81.9,,34,,0,4
03/23/2024 12:44:17,03/23/2024 08:44:17,3,3,,,3,3,,,27,31,31,31,31,0,533,,,0,,,,,22.95,,0,,,,,,,,,,,,,,,,,0.002,,,1,0,81.9,,33,,0,5
03/23/2024 12:59:17,03/23/2024 08:59:17,2,2,,,2,2,,,16,18,18,18,18,0,499,,,0,,,,,22.94,,0,,,,,,,,,,,,,,,,,0.011,,,6,0,80.8,,32,,0,4
03/23/2024 13:14:17,03/23/2024 09:14:17,2,2,,,2,3,,,20,23,24,24,24,0,518,,,0,,,,,22.94,,0,,,,,,,,,,,,,,,,,0.013,,,7,0,80.2,,33,,0,4
03/23/2024 13:29:17,03/23/2024 09:29:17,3,4,,,4,4,,,34,38,39,39,39,0,521,,,0,,,,,22.95,,0,,,,,,,,,,,,,,,,,0.005,,,2,0,79.7,,34,,0,4
03/23/2024 13:44:17,03/23/2024 09:44:17,4,4,,,4,4,,,38,42,42,42,42,0,506,,,0,,,,,22.95,,0,,,,,,,,,,,,,,,,,0.002,,,1,0,79.2,,35,,0,4
03/23/2024 13:59:17,03/23/2024 09:59:17,4,4,,,4,4,,,39,44,44,44,44,0,502,,,0,,,,,22.95,,0,,,,,,,,,,,,,,,,,0.002,,,1,0,78.8,,35,,0,4
