Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,Applied PM 2.5 Custom Calibration Setting - Offset,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,Applied PM 10 Custom Calibration Setting - Offset,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Error Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Error Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Error Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Error Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Error Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Error Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Error Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Ethanol,VOC Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC-05:00,ug/m3,ug/m3,,,ug/m3,ug/m3,,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,ppm,,,,ppb,,,,inHg,,,ppm,,,,ppb,,,,ppb,,,,ppb,,,,mg/m3,,,ppb,,Fahrenheit,Celsius,%,,,
11/09/2023 22:02,11/09/2023 17:02,42,44,,,45,45,,,89,100,101,101,101,0,435,,,0,,,,,23.55,,0,,,,,,,,,,,,,,,,,0.145,,,77,0,69.4,,58,,0,0
11/07/2023 12:47,11/07/2023 07:47,4,4,,,4,4,,,8,9,9,9,9,0,418,,,0,,,,,23.51,,0,,,,,,,,,,,,,,,,,0.074,,,39,0,76.8,,50,,0,0
11/09/2023 07:47,11/09/2023 02:47,14,15,,,15,15,,,29,32,32,32,33,0,424,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.044,,,24,0,73.0,,49,,0,0
11/11/2023 10:08,11/11/2023 05:08,25,26,,,26,26,,,51,57,57,57,57,0,395,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.051,,,27,0,76.6,,44,,0,0
11/10/2023 12:08,11/10/2023 07:08,19,20,,,20,20,,,40,44,44,44,45,0,483,,,0,,,,,23.50,,0,,,,,,,,,,,,,,,,,0.166,,,88,0,78.3,,44,,0,0
11/07/2023 02:47,11/06/2023 21:47,4,5,,,5,5,,,9,10,10,10,10,0,426,,,0,,,,,23.58,,0,,,,,,,,,,,,,,,,,0.038,,,20,0,68.2,,64,,0,0
11/08/2023 06:47,11/08/2023 01:47,6,6,,,6,6,,,13,14,14,14,14,0,433,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.111,,,59,0,72.5,,59,,0,0
11/11/2023 18:59,11/11/2023 13:59,37,39,,,39,39,,,79,88,88,88,88,0,414,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,71.4,,51,,0,1
11/08/2023 04:47,11/07/2023 23:47,10,11,,,11,11,,,22,25,25,25,25,0,430,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.072,,,38,0,69.4,,65,,0,0
