Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,Applied PM 2.5 Custom Calibration Setting - Offset,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,Applied PM 10 Custom Calibration Setting - Offset,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Error Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Error Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Error Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Error Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Error Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Error Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Error Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Ethanol,VOC Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC-05:00,ug/m3,ug/m3,,,ug/m3,ug/m3,,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,ppm,,,,ppb,,,,inHg,,,ppm,,,,ppb,,,,ppb,,,,ppb,,,,mg/m3,,,ppb,,Fahrenheit,Celsius,%,,,
11/07/2023 04:47,11/06/2023 23:47,5,5,,,5,5,,,16,18,18,18,18,0,441,,,0,,,,,23.68,,0,,,,,,,,,,,,,,,,,0.144,,,76,0,69.4,,61,,0,0
11/10/2023 15:38,11/10/2023 10:38,17,18,,,18,18,,,52,58,59,59,59,0,472,,,0,,,,,23.59,,0,,,,,,,,,,,,,,,,,0.227,,,121,0,75.0,,51,,0,0
11/07/2023 06:02,11/07/2023 01:02,5,5,,,5,5,,,14,16,16,16,16,0,434,,,0,,,,,23.70,,0,,,,,,,,,,,,,,,,,0.077,,,41,0,70.7,,59,,0,0
11/10/2023 06:32,11/10/2023 01:32,15,16,,,16,16,,,48,54,54,54,54,0,447,,,0,,,,,23.68,,0,,,,,,,,,,,,,,,,,0.044,,,24,0,71.4,,51,,0,0
11/09/2023 01:02,11/08/2023 20:02,5,6,,,6,6,,,17,19,19,19,19,0,416,,,0,,,,,23.60,,0,,,,,,,,,,,,,,,,,0.020,,,11,0,69.1,,60,,0,0
11/11/2023 03:08,11/10/2023 22:08,18,19,,,19,19,,,58,65,65,65,65,0,423,,,0,,,,,23.63,,0,,,,,,,,,,,,,,,,,0.041,,,22,0,69.3,,59,,0,0
11/06/2023 04:32,11/05/2023 23:32,8,9,,,9,9,,,26,29,29,29,29,0,445,,,0,,,,,23.67,,0,,,,,,,,,,,,,,,,,0.700,,,372,0,68.0,,65,,0,0
11/07/2023 19:47,11/07/2023 14:47,12,13,,,13,13,,,38,42,42,42,42,0,410,,,0,,,,,23.69,,0,,,,,,,,,,,,,,,,,0.261,,,139,0,71.4,,60,,0,0
11/10/2023 13:53,11/10/2023 08:53,13,14,,,14,14,,,40,45,45,45,45,0,556,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.309,,,164,0,77.4,,47,,0,0
11/10/2023 21:38,11/10/2023 16:38,19,21,,,21,21,,,60,68,68,68,68,0,429,,,0,,,,,23.65,,0,,,,,,,,,,,,,,,,,0.137,,,73,0,71.6,,55,,0,0
11/06/2023 23:32,11/06/2023 18:32,2,3,,,3,3,,,8,9,9,9,9,0,410,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.041,,,22,0,69.6,,62,,0,0
11/12/2023 18:29,11/12/2023 13:29,18,19,,,19,19,,,57,64,64,64,64,0,427,,,0,,,,,23.68,,0,,,,,,,,,,,,,,,,,0.400,,,213,0,70.3,,62,,0,0
11/08/2023 09:02,11/08/2023 04:02,3,3,,,3,3,,,9,10,10,10,10,0,426,,,0,,,,,23.66,,0,,,,,,,,,,,,,,,,,0.124,,,66,0,74.8,,55,,0,0
11/12/2023 03:44,11/11/2023 22:44,19,20,,,20,20,,,59,66,66,66,66,0,434,,,0,,,,,23.66,,0,,,,,,,,,,,,,,,,,0.050,,,27,0,69.1,,58,,0,0
11/08/2023 11:32,11/08/2023 06:32,2,2,,,2,2,,,6,7,7,7,7,0,425,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.155,,,82,0,76.6,,52,,0,0
11/06/2023 19:17,11/06/2023 14:17,8,8,,,8,8,,,25,28,28,28,28,0,413,,,0,,,,,23.69,,0,,,,,,,,,,,,,,,,,0.088,,,47,0,71.1,,61,,0,0
11/10/2023 12:38,11/10/2023 07:38,12,13,,,13,13,,,36,41,41,41,41,0,616,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.454,,,242,0,78.6,,45,,0,0
11/10/2023 23:38,11/10/2023 18:38,19,20,,,20,20,,,59,66,66,66,66,0,418,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.106,,,56,0,70.7,,56,,0,0
11/07/2023 17:02,11/07/2023 12:02,10,11,,,11,11,,,32,36,36,36,36,0,427,,,0,,,,,23.65,,0,,,,,,,,,,,,,,,,,0.461,,,245,0,72.3,,59,,0,0
11/08/2023 15:17,11/08/2023 10:17,4,4,,,4,4,,,13,14,14,14,14,0,413,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.027,,,15,0,72.7,,56,,0,0
11/07/2023 11:02,11/07/2023 06:02,3,3,,,3,3,,,9,10,10,10,10,0,419,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.123,,,65,0,77.0,,49,,0,0
11/11/2023 15:23,11/11/2023 10:23,27,28,,,28,28,,,82,92,92,92,93,0,538,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.151,,,80,0,73.9,,48,,0,0
