Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,Applied PM 2.5 Custom Calibration Setting - Offset,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,Applied PM 10 Custom Calibration Setting - Offset,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Error Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Error Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Error Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Error Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Error Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Error Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Error Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Ethanol,VOC Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC-04:00,ug/m3,ug/m3,,,ug/m3,ug/m3,,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,ppm,,,,ppb,,,,inHg,,,ppm,,,,ppb,,,,ppb,,,,ppb,,,,mg/m3,,,ppb,,Fahrenheit,Celsius,%,,,
07/13/2024 00:03:32,07/12/2024 20:03:32,102,108,,,108,108,,,222,249,249,250,250,0,711,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.685,,,364,0,66.9,,71,,0,0
07/13/2024 00:18:32,07/12/2024 20:18:32,103,109,,,109,109,,,224,251,252,252,252,0,720,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.662,,,352,0,66.7,,72,,0,0
07/13/2024 00:33:32,07/12/2024 20:33:32,102,108,,,108,108,,,222,248,249,249,249,0,722,,,0,,,,,23.63,,0,,,,,,,,,,,,,,,,,0.708,,,376,0,66.6,,72,,0,0
07/13/2024 00:48:32,07/12/2024 20:48:32,99,105,,,105,105,,,216,242,242,242,243,0,708,,,0,,,,,23.63,,0,,,,,,,,,,,,,,,,,0.674,,,358,0,66.2,,72,,0,0
07/13/2024 01:03:32,07/12/2024 21:03:32,94,100,,,100,100,,,206,231,231,231,231,0,709,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.660,,,351,0,66.2,,72,,0,0
07/13/2024 01:18:32,07/12/2024 21:18:32,86,91,,,91,91,,,188,211,211,211,211,0,703,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.611,,,325,0,66.2,,72,,0,0
07/13/2024 01:33:32,07/12/2024 21:33:32,85,90,,,90,90,,,185,207,208,208,208,0,693,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.602,,,320,0,65.8,,73,,0,0
07/13/2024 01:48:32,07/12/2024 21:48:32,91,96,,,96,96,,,198,222,222,222,223,0,677,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.660,,,351,0,65.7,,73,,0,0
07/13/2024 02:03:32,07/12/2024 22:03:32,91,97,,,97,97,,,200,224,224,224,224,0,652,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.589,,,313,0,65.5,,73,,0,0
07/13/2024 02:18:32,07/12/2024 22:18:32,83,88,,,88,88,,,183,205,205,205,205,0,648,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.526,,,280,0,65.3,,73,,0,0
07/13/2024 02:33:32,07/12/2024 22:33:32,84,89,,,89,90,,,185,208,208,208,208,0,682,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.588,,,313,0,65.1,,74,,0,0
07/13/2024 02:48:32,07/12/2024 22:48:32,99,105,,,106,106,,,218,244,245,245,245,0,696,,,0,,,,,23.65,,0,,,,,,,,,,,,,,,,,0.607,,,323,0,64.9,,74,,0,0
07/13/2024 03:03:32,07/12/2024 23:03:32,110,117,,,117,117,,,242,271,272,272,272,0,668,,,0,,,,,23.65,,0,,,,,,,,,,,,,,,,,0.489,,,260,0,64.8,,74,,0,0
07/13/2024 03:18:32,07/12/2024 23:18:32,110,116,,,116,116,,,242,271,272,272,272,0,655,,,0,,,,,23.65,,0,,,,,,,,,,,,,,,,,0.427,,,227,0,64.4,,74,,0,0
07/13/2024 03:33:32,07/12/2024 23:33:32,146,154,,,155,155,,,322,360,361,361,361,0,669,,,0,,,,,23.65,,0,,,,,,,,,,,,,,,,,0.490,,,261,0,64.4,,74,,0,0
07/13/2024 03:48:32,07/12/2024 23:48:32,156,165,,,165,165,,,343,385,385,385,386,0,653,,,0,,,,,23.65,,0,,,,,,,,,,,,,,,,,0.714,,,380,0,64.2,,74,,0,0
07/13/2024 04:03:32,07/13/2024 00:03:32,176,186,,,186,186,,,388,434,435,435,435,0,683,,,0,,,,,23.66,,0,,,,,,,,,,,,,,,,,0.955,,,508,0,64.2,,75,,0,0
07/13/2024 04:18:32,07/13/2024 00:18:32,204,216,,,216,216,,,449,502,503,504,504,0,713,,,0,,,,,23.66,,0,,,,,,,,,,,,,,,,,1.065,,,567,0,64.6,,75,,0,0
07/13/2024 04:33:32,07/13/2024 00:33:32,192,203,,,203,203,,,421,472,473,473,473,0,735,,,0,,,,,23.67,,0,,,,,,,,,,,,,,,,,1.089,,,579,0,64.9,,76,,0,0
07/13/2024 04:48:32,07/13/2024 00:48:32,174,184,,,184,184,,,382,428,428,428,429,0,821,,,0,,,,,23.67,,0,,,,,,,,,,,,,,,,,1.103,,,587,0,65.7,,76,,0,0
07/13/2024 05:03:32,07/13/2024 01:03:32,157,166,,,166,166,,,342,383,384,384,384,0,985,,,0,,,,,23.67,,0,,,,,,,,,,,,,,,,,1.124,,,598,0,66.4,,77,,0,0
07/13/2024 05:18:32,07/13/2024 01:18:32,118,124,,,124,125,,,256,286,287,287,287,0,954,,,0,,,,,23.68,,0,,,,,,,,,,,,,,,,,1.065,,,567,0,67.1,,77,,0,0
07/13/2024 05:33:32,07/13/2024 01:33:32,108,115,,,115,115,,,235,263,263,263,263,0,951,,,0,,,,,23.68,,0,,,,,,,,,,,,,,,,,1.016,,,540,0,67.8,,76,,0,0
07/13/2024 05:48:32,07/13/2024 01:48:32,97,103,,,103,103,,,211,236,236,236,236,0,878,,,0,,,,,23.68,,0,,,,,,,,,,,,,,,,,0.953,,,507,0,68.4,,76,,0,0
07/13/2024 06:03:32,07/13/2024 02:03:32,92,97,,,97,97,,,198,222,222,222,222,0,818,,,0,,,,,23.68,,0,,,,,,,,,,,,,,,,,0.911,,,484,0,69.1,,76,,0,0
07/13/2024 06:18:32,07/13/2024 02:18:32,76,81,,,81,81,,,164,184,184,184,184,0,784,,,0,,,,,23.68,,0,,,,,,,,,,,,,,,,,0.889,,,473,0,69.6,,75,,0,0
07/13/2024 06:33:32,07/13/2024 02:33:32,62,65,,,65,65,,,132,147,148,148,148,0,798,,,0,,,,,23.69,,0,,,,,,,,,,,,,,,,,0.917,,,488,0,70.5,,75,,0,0
07/13/2024 06:48:32,07/13/2024 02:48:32,265,282,,,282,283,,,564,633,634,634,634,0,846,,,0,,,,,23.69,,0,,,,,,,,,,,,,,,,,0.923,,,491,0,71.4,,75,,0,0
07/13/2024 07:03:32,07/13/2024 03:03:32,360,382,,,382,383,,,763,855,857,857,857,0,765,,,0,,,,,23.69,,0,,,,,,,,,,,,,,,,,0.917,,,488,0,72.3,,74,,0,0
07/13/2024 07:18:32,07/13/2024 03:18:32,251,265,,,265,265,,,528,591,592,592,592,0,473,,,0,,,,,23.68,,0,,,,,,,,,,,,,,,,,0.936,,,498,0,73.9,,69,,0,0
07/13/2024 07:33:32,07/13/2024 03:33:32,118,124,,,124,124,,,245,275,275,275,275,0,425,,,0,,,,,23.68,,0,,,,,,,,,,,,,,,,,0.865,,,460,0,75.9,,63,,0,0
07/13/2024 07:48:32,07/13/2024 03:48:32,92,98,,,98,98,,,193,216,216,216,216,0,415,,,0,,,,,23.68,,0,,,,,,,,,,,,,,,,,0.807,,,429,0,76.1,,60,,0,0
07/13/2024 08:03:32,07/13/2024 04:03:32,134,142,,,142,142,,,279,313,313,313,313,0,426,,,0,,,,,23.68,,0,,,,,,,,,,,,,,,,,0.847,,,450,0,76.3,,61,,0,0
07/13/2024 08:18:32,07/13/2024 04:18:32,261,277,,,278,278,,,541,607,608,608,608,0,394,,,0,,,,,23.68,,0,,,,,,,,,,,,,,,,,0.769,,,409,0,77.2,,56,,0,0
07/13/2024 08:33:32,07/13/2024 04:33:32,515,544,,,544,544,,,1071,1199,1201,1201,1202,0,410,,,0,,,,,23.68,,0,,,,,,,,,,,,,,,,,0.701,,,373,0,76.5,,54,,0,0
07/13/2024 08:53:34,07/13/2024 04:53:34,1324,1403,,,1406,1407,,,2734,3063,3070,3071,3072,0,478,,,0,,,,,23.67,,0,,,,,,,,,,,,,,,,,0.408,,,217,0,77.5,,53,,0,1
07/13/2024 09:08:34,07/13/2024 05:08:34,544,575,,,575,575,,,1119,1253,1256,1256,1257,0,377,,,0,,,,,23.67,,0,,,,,,,,,,,,,,,,,0.521,,,277,0,79.7,,50,,0,0
07/13/2024 09:23:34,07/13/2024 05:23:34,59,62,,,62,62,,,119,134,134,134,134,0,401,,,0,,,,,23.67,,0,,,,,,,,,,,,,,,,,0.165,,,87,0,81.3,,48,,0,0
07/13/2024 09:38:34,07/13/2024 05:38:34,63,66,,,66,66,,,128,143,143,143,143,0,430,,,0,,,,,23.66,,0,,,,,,,,,,,,,,,,,0.018,,,9,0,80.6,,48,,0,0
07/13/2024 09:53:34,07/13/2024 05:53:34,33,34,,,34,34,,,66,74,74,74,74,0,425,,,0,,,,,23.66,,0,,,,,,,,,,,,,,,,,0.042,,,22,0,82.6,,46,,0,0
07/13/2024 10:08:34,07/13/2024 06:08:34,908,960,,,960,960,,,1854,2076,2080,2081,2081,0,416,,,0,,,,,23.65,,0,,,,,,,,,,,,,,,,,0.584,,,310,0,81.0,,45,,0,0
07/13/2024 10:23:34,07/13/2024 06:23:34,281,297,,,297,297,,,574,642,643,643,644,0,455,,,0,,,,,23.65,,0,,,,,,,,,,,,,,,,,0.695,,,370,0,80.6,,45,,0,0
07/13/2024 10:38:34,07/13/2024 06:38:34,164,175,,,176,177,,,330,370,371,371,371,0,355,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.338,,,180,0,82.6,,44,,0,0
07/13/2024 10:53:34,07/13/2024 06:53:34,70,74,,,74,74,,,140,157,157,157,157,0,380,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.167,,,89,0,83.8,,43,,0,0
07/13/2024 11:08:34,07/13/2024 07:08:34,31,33,,,33,33,,,63,70,71,71,71,0,348,,,0,,,,,23.63,,0,,,,,,,,,,,,,,,,,0.069,,,36,0,84.9,,42,,0,0
07/13/2024 11:23:34,07/13/2024 07:23:34,27,28,,,28,28,,,54,60,60,60,60,0,350,,,0,,,,,23.63,,0,,,,,,,,,,,,,,,,,0.026,,,13,0,83.8,,43,,0,0
07/13/2024 11:38:34,07/13/2024 07:38:34,37,39,,,40,40,,,74,83,84,84,84,0,367,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.028,,,15,0,83.7,,42,,0,0
07/13/2024 11:53:34,07/13/2024 07:53:34,35,37,,,37,37,,,70,79,79,79,79,0,406,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.020,,,10,0,81.7,,45,,0,0
07/13/2024 12:08:34,07/13/2024 08:08:34,43,46,,,46,46,,,87,98,98,98,98,0,368,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.039,,,21,0,81.9,,45,,0,0
07/13/2024 12:23:34,07/13/2024 08:23:34,31,33,,,33,33,,,63,71,71,71,71,0,389,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.045,,,24,0,81.1,,47,,0,0
07/13/2024 12:38:34,07/13/2024 08:38:34,29,31,,,31,31,,,59,66,66,66,66,0,367,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.165,,,88,0,84.0,,44,,0,0
07/13/2024 12:53:34,07/13/2024 08:53:34,37,39,,,39,39,,,74,83,84,84,84,0,412,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.415,,,221,0,82.6,,46,,0,0
