Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,Applied PM 2.5 Custom Calibration Setting - Offset,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,Applied PM 10 Custom Calibration Setting - Offset,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Error Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Error Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Error Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Error Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Error Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Error Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Error Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Ethanol,VOC Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC-04:00,ug/m3,ug/m3,,,ug/m3,ug/m3,,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,ppm,,,,ppb,,,,inHg,,,ppm,,,,ppb,,,,ppb,,,,ppb,,,,mg/m3,,,ppb,,Fahrenheit,Celsius,%,,,
06/22/2024 00:04:17,06/21/2024 20:04:17,3,4,,,4,4,,,36,41,41,41,41,0,764,,,0,,,,,23.56,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,69.1,,58,,0,2
06/22/2024 00:04:19,06/21/2024 20:04:19,3,4,,,4,4,,,34,39,39,39,39,0,767,,,0,,,,,23.56,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,68.9,,59,,0,2
06/22/2024 00:19:21,06/21/2024 20:19:21,4,4,,,4,4,,,37,41,41,41,41,0,770,,,0,,,,,23.56,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,68.9,,59,,0,2
06/22/2024 00:19:23,06/21/2024 20:19:23,3,4,,,4,4,,,35,39,39,39,39,0,762,,,0,,,,,23.56,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,68.7,,59,,0,2
06/22/2024 00:34:25,06/21/2024 20:34:25,3,3,,,3,3,,,33,38,38,38,38,0,756,,,0,,,,,23.56,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,68.7,,59,,0,2
06/22/2024 00:34:27,06/21/2024 20:34:27,3,3,,,3,3,,,33,37,38,38,38,0,758,,,0,,,,,23.56,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,68.7,,59,,0,2
06/22/2024 00:49:29,06/21/2024 20:49:29,3,3,,,3,3,,,32,37,37,37,37,0,755,,,0,,,,,23.56,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,68.7,,59,,0,2
06/22/2024 00:54:22,06/21/2024 20:54:22,3,3,,,3,3,,,32,36,36,36,36,0,761,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,68.7,,59,,0,3
06/22/2024 01:09:23,06/21/2024 21:09:23,3,3,,,3,3,,,32,36,36,36,36,0,763,,,0,,,,,23.57,,0,,,,,,,,,,,,,,,,,0.000,,,0,0,68.7,,59,,0,2
