Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,Applied PM 2.5 Custom Calibration Setting - Offset,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,Applied PM 10 Custom Calibration Setting - Offset,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,CO2,Applied CO2 Custom Calibration Setting - Multiplication Factor,Applied CO2 Custom Calibration Setting - Offset,CO2 Sensor Error Status,CH2O,Applied CH2O Custom Calibration Setting - Multiplication Factor,Applied CH2O Custom Calibration Setting - Offset,CH2O Sensor Error Status,Barometric Pressure,Applied Barometric Pressure Custom Calibration Setting - Offset,Barometric Sensor Error Status,CO,Applied CO Custom Calibration Setting - Multiplication Factor,Applied CO Custom Calibration Setting - Offset,CO Sensor Error Status,SO2,Applied SO2 Custom Calibration Setting - Multiplication Factor,Applied SO2 Custom Calibration Setting - Offset,SO2 Sensor Error Status,O3,Applied O3 Custom Calibration Setting - Multiplication Factor,Applied O3 Custom Calibration Setting - Offset,O3 Sensor Error Status,NO2,Applied NO2 Custom Calibration Setting - Multiplication Factor,Applied NO2 Custom Calibration Setting - Offset,NO2 Sensor Error Status,VOC tVOC measurement,Applied TVOC Custom Calibration Setting - Multiplication Factor,Applied TVOC Custom Calibration Setting - Offset,VOC Ethanol,VOC Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC-04:00,ug/m3,ug/m3,,,ug/m3,ug/m3,,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,ppm,,,,ppb,,,,inHg,,,ppm,,,,ppb,,,,ppb,,,,ppb,,,,mg/m3,,,ppb,,Fahrenheit,Celsius,%,,,
05/25/2024 00:08:43,05/24/2024 20:08:43,5,6,,,6,6,,,20,22,22,22,22,0,441,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.394,,,210,0,70.5,,63,,0,0
05/25/2024 00:23:43,05/24/2024 20:23:43,5,6,,,6,6,,,20,23,23,23,23,0,446,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.392,,,208,0,70.5,,64,,0,0
05/25/2024 00:38:43,05/24/2024 20:38:43,5,5,,,5,5,,,18,20,20,20,20,0,446,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.381,,,203,0,70.5,,64,,0,0
05/25/2024 00:53:43,05/24/2024 20:53:43,4,4,,,4,4,,,16,18,18,18,18,0,446,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.354,,,188,0,70.3,,64,,0,0
05/25/2024 01:08:43,05/24/2024 21:08:43,4,4,,,4,4,,,14,16,16,16,16,0,437,,,0,,,,,23.60,,0,,,,,,,,,,,,,,,,,0.321,,,171,0,70.3,,64,,0,0
05/25/2024 01:23:43,05/24/2024 21:23:43,3,4,,,4,4,,,13,15,15,15,15,0,450,,,0,,,,,23.60,,0,,,,,,,,,,,,,,,,,0.278,,,148,0,70.3,,64,,0,0
05/25/2024 01:38:43,05/24/2024 21:38:43,3,3,,,3,3,,,12,14,14,14,14,0,451,,,0,,,,,23.60,,0,,,,,,,,,,,,,,,,,0.253,,,135,0,70.2,,64,,0,0
05/25/2024 01:53:43,05/24/2024 21:53:43,3,3,,,3,3,,,11,12,12,12,12,0,455,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.226,,,120,0,70.2,,64,,0,0
05/25/2024 02:08:43,05/24/2024 22:08:43,3,3,,,3,3,,,10,12,12,12,12,0,454,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.217,,,115,0,70.0,,64,,0,0
05/25/2024 02:23:43,05/24/2024 22:23:43,3,3,,,3,3,,,10,11,11,11,11,0,453,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.216,,,115,0,70.0,,64,,0,0
05/25/2024 02:38:43,05/24/2024 22:38:43,3,3,,,3,3,,,10,11,11,11,11,0,460,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.224,,,119,0,70.0,,63,,0,0
05/25/2024 02:53:43,05/24/2024 22:53:43,3,3,,,3,3,,,10,11,11,11,11,0,458,,,0,,,,,23.61,,0,,,,,,,,,,,,,,,,,0.264,,,141,0,70.0,,63,,0,0
05/25/2024 03:08:43,05/24/2024 23:08:43,3,3,,,3,3,,,11,12,12,12,12,0,458,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.264,,,140,0,70.0,,63,,0,0
05/25/2024 03:23:43,05/24/2024 23:23:43,3,4,,,4,4,,,13,14,14,14,14,0,465,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.253,,,135,0,70.0,,63,,0,0
05/25/2024 03:38:43,05/24/2024 23:38:43,4,4,,,4,4,,,15,17,17,17,17,0,473,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.250,,,133,0,70.0,,63,,0,0
05/25/2024 03:53:43,05/24/2024 23:53:43,4,5,,,5,5,,,16,18,18,18,18,0,473,,,0,,,,,23.62,,0,,,,,,,,,,,,,,,,,0.260,,,139,0,70.0,,63,,0,0
05/25/2024 04:08:43,05/25/2024 00:08:43,5,6,,,6,6,,,20,22,22,22,22,0,476,,,0,,,,,23.63,,0,,,,,,,,,,,,,,,,,0.276,,,147,0,70.0,,63,,0,0
05/25/2024 04:39:36,05/25/2024 00:39:36,7,7,,,7,7,,,26,30,30,30,30,0,483,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.004,,,0,0,70.3,,63,,0,1
05/25/2024 04:54:36,05/25/2024 00:54:36,8,8,,,8,8,,,29,32,33,33,33,0,482,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.013,,,6,0,70.5,,62,,0,0
05/25/2024 05:09:36,05/25/2024 01:09:36,9,10,,,10,10,,,34,38,38,38,38,0,474,,,0,,,,,23.64,,0,,,,,,,,,,,,,,,,,0.005,,,1,0,70.7,,62,,0,0
05/25/2024 05:24:36,05/25/2024 01:24:36,10,11,,,11,11,,,38,42,42,42,42,0,469,,,0,,,,,23.65,,0,,,,,,,,,,,,,,,,,0.011,,,4,0,70.9,,62,,0,0
05/25/2024 05:39:36,05/25/2024 01:39:36,12,13,,,13,13,,,47,53,53,53,53,0,475,,,0,,,,,23.65,,0,,,,,,,,,,,,,,,,,0.018,,,10,0,71.2,,62,,0,0
05/25/2024 05:54:36,05/25/2024 01:54:36,14,14,,,14,14,,,51,57,58,58,58,0,472,,,0,,,,,23.65,,0,,,,,,,,,,,,,,,,,0.018,,,10,0,71.8,,61,,0,0
05/25/2024 06:09:36,05/25/2024 02:09:36,13,14,,,14,14,,,50,56,56,56,56,0,471,,,0,,,,,23.66,,0,,,,,,,,,,,,,,,,,0.016,,,9,0,72.1,,60,,0,0
05/25/2024 07:41:22,05/25/2024 03:41:22,53,56,,,56,56,,,194,217,218,218,218,0,1332,,,0,,,,,23.45,,0,,,,,,,,,,,,,,,,,0.007,,,4,0,75.6,,71,,0,1
05/25/2024 07:56:22,05/25/2024 03:56:22,78,83,,,83,83,,,286,320,321,321,321,0,2480,,,0,,,,,23.45,,0,,,,,,,,,,,,,,,,,0.532,,,283,0,77.2,,71,,0,0
05/25/2024 08:11:22,05/25/2024 04:11:22,39,41,,,41,41,,,140,157,157,157,157,0,1890,,,0,,,,,23.45,,0,,,,,,,,,,,,,,,,,0.177,,,94,0,79.2,,69,,0,0
05/25/2024 08:26:22,05/25/2024 04:26:22,23,25,,,25,25,,,85,95,96,96,96,0,1456,,,0,,,,,23.45,,0,,,,,,,,,,,,,,,,,0.440,,,234,0,78.3,,69,,0,0
05/25/2024 08:41:22,05/25/2024 04:41:22,18,19,,,19,19,,,66,74,74,74,74,0,1279,,,0,,,,,23.45,,0,,,,,,,,,,,,,,,,,0.706,,,375,0,78.4,,68,,0,0
05/25/2024 08:56:22,05/25/2024 04:56:22,15,16,,,16,16,,,54,60,60,60,60,0,1183,,,0,,,,,23.45,,0,,,,,,,,,,,,,,,,,0.686,,,365,0,78.8,,67,,0,0
05/25/2024 09:11:22,05/25/2024 05:11:22,12,13,,,13,13,,,43,48,48,48,48,0,1035,,,0,,,,,23.44,,0,,,,,,,,,,,,,,,,,0.384,,,204,0,79.2,,66,,0,0
